NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
nybooks,2073528,4686,"‘The premier literary-intellectual magazine in the English language.’",17494,7391,"Lies, a short story by J.M. Coetzee https://t.co/y4cUIzSGgb"
,,,,,,"RT @edyson: QLWR - quite long, worth reading!  Kick Against the Pricks https://t.co/rO3q8hDx8r via @nybooks  #MeToo"
,,,,,,"“The camera sees geometrically but we see psychologically,” says David Hockney, whose pictures aim to emancipate ou… https://t.co/OaMykjNG7V"
,,,,,,"RT @mattseaton: ""The Ramadan Affair has thus reopened the historical split over laïcité within the French left, but the dispute has found n…"
,,,,,,"“I knew a poet who could only write his poems with a stub of a pencil…” Charles Simic on where writing comes from https://t.co/c1Jk0XBSLn"
,,,,,,"Rule #3: Institutions will not save you. https://t.co/OIkfptpN0o"
,,,,,,"RT @MarcPierini1: For those who missed this detailed analysis of the #Turkey connection in the #Flynn &amp; #Zarrab cases, by @DavidLPhillips4…"
,,,,,,"RT @DavidColeACLU: Why @ACLU is fighting for equal treatment for gay and lesbian couples in Supreme Court Tuesday -- and why we should prev…"
,,,,,,"RT @stephenwertheim: ""From Wilson through Hoover, no president disavowed the Klan."" Adam Hochschild on the KKK's second coming in the 1920s…"
,,,,,,"RT @polblonde: Britain’s Game of Thrones https://t.co/kVe6AfnhKI via @nybooks - my piece on Prince Harry's engagement in the New York Revie…"
,,,,,,"How Rachel Whiteread’s art transforms our sense of “ordinary” lives https://t.co/CvwR3icUTF"
,,,,,,"Big Money Rules: @DianeRavitch reviews ‘Democracy in Chains: The Deep History of the Radical Right’s Stealth Plan f… https://t.co/0KQJbcyCi4"
,,,,,,"The path to Trump’s cult of personality was paved by his predecessor, writes Pankaj Mishra https://t.co/KIhV5Vqrzx"
,,,,,,"Sylvain Cypel on Tariq Ramadan and the bitter debates over multiculturalism that are dividing French society https://t.co/vRC44OM1Cs"
,,,,,,"RT @laurakipnis: Wherein I contemplate Harvey, Roger, Donald, and a few other exposed pricks. Kick Against the Pricks https://t.co/wPlyOzHW…"
,,,,,,"RT @nycsouthpaw: John Kenneth Galbraith on horse-and-sparrow economics. https://t.co/g6HAr7vzBM"
,,,,,,"RT @nyrbclassics: Looking for a bookish gift for a young reader?  https://t.co/kX0CjUbNKy https://t.co/dTGIVpaXCF"
,,,,,,"Who will stop him? Garry Wills on the president and the Bomb: https://t.co/BBktt1iYaI"
,,,,,,"RT @Father_Ahab: Beautiful reflection on Thoreau, as he pondered the human victims of migration. Walden on the Rocks https://t.co/uIThq2c3U…"
,,,,,,"RT @thebookslut: ""The convenience of misogyny is that men are spared from hating themselves because they have women to hate instead."" https…"
,,,,,,"RT @thomasbeard: J. Hoberman on @FilmLinc's The Non-Actor: https://t.co/dOiBAcCCYW"
,,,,,,"RT @liamstack: ""[Brexit] threatens to devour those who cannot solve its great riddle: How do you impose an EU frontier across a small islan…"
,,,,,,"Laura Kipnis: Kick Against the Pricks https://t.co/ymecd5jDNb"
,,,,,,"RT @linda_kass: A brilliant essay by Francine Prose about Three Billboards Outside Ebbing, Missouri. @nybooks
 https://t.co/jEJ5zILEmh"
,,,,,,"RT @NYRDaily: The latest from Ariel Dorfman: ""Walden on the Rocks,"" a timely reflection on refugees, inhumanity, and empathy… https://t.co/…"
,,,,,,"RT @nybooks: Hannah Arendt on lies https://t.co/vxOXd9EtX9 https://t.co/Lezt78uYjm"
,,,,,,"Adam Hochschild on one of the darker currents running through American history: the Ku Klux Klan, which in the 1920… https://t.co/ngocWoUOko"
,,,,,,"The War Powers Act of 1973 requires presidents to gain congressional consent within 60 days to any action that rais… https://t.co/uB71KcCaxk"
,,,,,,"Born on this day, 260 years ago: William Blake. At his death he was almost completely forgotten. He had sold less t… https://t.co/pfuzZ8mezS"
,,,,,,"Martin McDonagh’s ‘Three Billboards Outside Ebbing, Missouri’ is a film about the power of language. Francine Prose… https://t.co/TX1IVn5vxf"
,,,,,,"Next week the Supreme Court will hear a case at the center of the clash between opponents and proponents of marriag… https://t.co/82qqwV685P"
,,,,,,"In Puerto Rico after Hurricane Maria, grassroots activists stepped up to rebuild communities in the face of a burea… https://t.co/BDfZSVJG6K"
,,,,,,"“Digging into the details,” says man who made a $2,000,000,000,000 error in his actual job. https://t.co/brrIJ3vq8U"
,,,,,,"“It concerns a mystical synthesis of ‘America’,” Hart Crane explained to a friend. “History and fact, location, etc… https://t.co/HJRG2Qf1z5"
