NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
platobooktour,27044,264,"Plato reacts to the 21st century. Rebecca Newberger Goldstein types.",1425864,3399,"RT @aravosis: Excuse me, CNN, it’s not “Democrats say the tax bill will add $1 trillion to the deficit.” It’s CBO and the Joint Committee o…"
,,,,,,"""But the passion that dwells in him as a tyrant will live in utmost anarchy and lawlessness, and, since it is itsel… https://t.co/tw1pDNmzwN"
,,,,,,"RT @NormOrnstein: There has never been a more outrageous, revolting, unfair process to pass a corrupted bill in the history of Congress. Th…"
,,,,,,"RT @brianschatz: Republicans are now in the process of voting NO on a motion to give us a couple of days to READ THE BILL. This is appallin…"
,,,,,,"Some random words in ancient Greek:
ἀπιστία, “treachery”
προδοσία, “high treason”, “betrayal”
προδοτής, “traitor”
ἐ… https://t.co/JwpbJOgp6T"
,,,,,,"“If you miss that opportune moment when those men are about to do something treacherous against their state, it is… https://t.co/6XfQVJwpjc"
,,,,,,"RT @Sifill_LDF: This is not the conduct of a rational, functioning Republic. https://t.co/EToXy0IcFg"
,,,,,,"Wittgenstein:""Philosophy is a battle against the bewitchment of our intelligence by means of our language."" It's al… https://t.co/Yx8p2ph0wF"
,,,,,,"“Musical training is a more potent instrument than any other, because rhythm and harmony find their way into the in… https://t.co/ZdJeFwh6uc"
,,,,,,"The Baltimore police are studying Plato, Baldwin, and Dostoevsky.
https://t.co/jgw3vQxUZO"
,,,,,,"@physicspolitics @sapinker The difference between a mystic and a rationalist philosopher doesn't lie in the conclus… https://t.co/B5eNicxuiv"
,,,,,,"@CormacORafferty A rabbi telegraphed Einstein: “Do you believe in God? Stop. Answer paid. 50 words.” Einstein's ans… https://t.co/QTztEpAlmU"
,,,,,,"RT @bgreene: On this date in 1915, Albert Einstein announces that he has completed his ten year odyssey toward the field equations of the g…"
,,,,,,"@physicspolitics @sapinker I don't know what you mean by ""mystic.""I mean someone who thinks ""mystical experience"" r… https://t.co/pjdzgDC4if"
,,,,,,"@schenck_betsy @sapinker Good move, my friend. Perhaps""Betraying Spinoza: The Renegade Who Gave Us Modernity"" might prove interesting."
,,,,,,"@bold_counsel Yes, we're driven to act in ways we think most useful to us, but we get it wrong. Reason is capacity… https://t.co/WMvtlDYmbq"
,,,,,,"@in_psych If only he'd entered popular culture we wouldn't be dominated by unjustified dualisms of many kinds."
,,,,,,"Happy birthday, Baruch Spinoza, excommunicated by his own community, excoriated by greater Christian Europe. His pr… https://t.co/pCx5auWE86"
