NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
richkleiman,23183,102,"Partner, The Durant Company/Thirty Five Media",63573,11987,"RT @UTAustin: Shades of fall on the Forty Acres 🍂 Enjoy the bea-UT-iful weekend, Longhorns! 🤘 https://t.co/9l2WZ2SFHx"
,,,,,,"Breaking Down Top HS Players | KD on Zion Williamson, LaMelo Ball, &amp; More https://t.co/asVnaiXHEW via @YouTube"
,,,,,,"RT @darrenrovell: JUST IN: Nike launches Kevin Durant eyewear. Prices range from $197 to $297 a pair https://t.co/t6zvK8vNs4"
,,,,,,"RT @StephenCurry30: The wait is over. The wait is over. @TigerWoods"
,,,,,,"RT @flynnwaslike: 💯💯💯💯💯💯@JaValeMcGee34 https://t.co/gOFu6apB4b"
,,,,,,"RT @nealmohan: Very excited to say that today we’re officially launching our new Community tab to creators with over 10k subscribers https:…"
,,,,,,"RT @JaValeMcGee34: Bitcoin doin numbers..."
,,,,,,"It’s awful and not fair to geno either https://t.co/JpnRl29Qqs"
,,,,,,"RT @mabde33: Embarrassing &amp; disrespectful day, to be a #giants fan. No matter what negative chatter there is about Eli, he won 2 Super Bowl…"
,,,,,,"Smh https://t.co/jwWczL5Uvx"
,,,,,,"RT @SLAMonline: Kevin Durant gives a scouting report on the top HS prospects in the country, including Zion Williamson and LaMelo Ball.

Ch…"
,,,,,,"RT @KDTrey5: Got word that the @YouTube Community tab I've been talking to you guys on is opening up to more creators this week. @nealmohan…"
,,,,,,"Breaking Down Top HS Players | KD on Zion Williamson, LaMelo Ball, &amp; More https://t.co/asVnaiXHEW via @YouTube"
,,,,,,"RT @darrenrovell: Social media + technology has added a speed to the power that everyday people have when they want to speak up on anything…"
,,,,,,"RT @KDTrey5: Good luck to the USA Men’s World Cup Qualifying Team tomorrow in Greensboro #FIBAWC #DefendTheCup https://t.co/yNSOdzv92n"
,,,,,,"Yessir https://t.co/eubfeEvUWL"
,,,,,,"KD Fan Q&amp;A: Let's Talk Hoops https://t.co/iZeVRoRQM9 via @YouTube"
,,,,,,"Another one https://t.co/HOgqgFYEDX"
,,,,,,"Kevin Durant on His Legendary Game at Harlem’s Rucker Park | GQ https://t.co/C4treZRPZt via @YouTube"
,,,,,,"Johnnies https://t.co/qYXXgWP6cK"
,,,,,,"RT @flynnwaslike: Hello here is a fun thing we did with the @GQMagazine team that you should watch https://t.co/R5dsxBgv54"
,,,,,,"Q&amp;A From the Hospital Bed https://t.co/NKmsUFphET via @YouTube"
,,,,,,"Kevin Durant on His Legendary Game at Harlem’s Rucker Park | GQ https://t.co/C4treZRPZt via @YouTube"
,,,,,,"JaVale McGee's Parking Lot Chronicles: Episode 3 https://t.co/oQfHm5aqdi via @YouTube"
,,,,,,"Patrick Ewing!! https://t.co/J1grEm3OXZ"
