NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
rihanna,83581799,1025,"@FentyBeauty is out now!! https://t.co/6HarIz1NrP",3130773,10472365,"my fenty beauty queens! beautiful and #UNCENSORED with #STUNNA @fentybeauty https://t.co/ZE9xJnOIVa"
,,,,,,"come thruuuuu sis!! that #STUNNA looking bomb af on yo cute bald head ass! Lol 💋💋💋
@fentybeauty https://t.co/kRsjT3KvoI"
,,,,,,"bout dat #STUNNA life! Out now at @fentybeauty https://t.co/Gr3OPNUbFC https://t.co/7kxyBb3UCd"
,,,,,,"#STUNNA is out now at https://t.co/Gr3OPNCAO4 @fentybeauty @sephora @harveynichols #SephoraInJCP https://t.co/KrsXC2EbpL"
,,,,,,"#STUNNA drops TONIGHT at MIDNIGHT EST!! @fentybeauty @sephora @harveynichols #SephoraInJCP https://t.co/UBgBTg9R2X"
,,,,,,"issa role model. 
dat #STUNNA dropping at MIDNIGHT TONIGHT babyyy!!! @fentybeauty https://t.co/6ccYmfZmke"
,,,,,,".@dazed cover 4/4 
#coverseason https://t.co/A0L7HDrrap"
,,,,,,"me: I want to look like Shirley Temple had dreads
@yusefhairnyc: say no more. 
@dazed. cover 3/4 https://t.co/9c02zzSKHy"
,,,,,,"stay woke. @dazed cover 2/4 https://t.co/aUJGr6pTSs"
,,,,,,".@dazed magazine. 4 covers. 1/4

Photography by @harleyvweir 
Styling by #robbiespencer
Hair by @YusefHairNYC
Make-… https://t.co/kb1tO1USYd"
,,,,,,".@VogueParis on stands Dec.1

Cover #3 Shot by #JeanPaulGoude 
Styled by Aleksandra Woroniecka
Hair by… https://t.co/DZM8kXSBnv"
,,,,,,".@VogueParis 

Cover #2 Shot by @InezandVinoodh

Styled by #MelOttenberg
Hair by @YusefHairNYC
Makeup by… https://t.co/h9DMubKxmz"
,,,,,,".@VogueParis #GuestEditor for December issue! 3 photographers, 3 editorials, 3 covers!

Cover #1 Shot by… https://t.co/pHrmjbqD7d"
,,,,,,"waiting for #STUNNA like.... Only 5 days left.. @fentybeauty https://t.co/mnxKWExLgR"
,,,,,,"when Nov 23 not coming fast enough!! #STUNNA 👀 less than a week til it drops! @fentybeauty https://t.co/xuXHSoN8cN"
,,,,,,".@TIME mag named @fentybeauty one of the 25 best inventions of 2017! I'm honored and I have to send love to everyon… https://t.co/Bdo8KYsr98"
,,,,,,"SCREAMING!!!! @fentybeauty won 3 @Refinery29 #BeautyInnovatorAwards: innovator of the year, best foundation for… https://t.co/0ADX2wGoMd"
,,,,,,"#STUNNA @fentybeauty. Out next Thursday!! https://t.co/DKXtQGrpb0"
,,,,,,"#STUNNA lips on da homie slickwoods ... this was shortly after she said she would never wear red lipstick 🤷🏽‍♀️💋 co… https://t.co/i1oivEO10p"
,,,,,,"#stunna 💋 don't laugh at my tutorial skillz 🤷🏽‍♀️ @fentybeauty https://t.co/e1rV8xHC30"
,,,,,,"Nov. 23. #STUNNA @fentybeauty https://t.co/bFHDC4e6KM"
,,,,,,"Be a #STUNNA. @fentybeauty 
stunna lip paint in shade #UNCENSORED https://t.co/DOIMFjKZPF"
,,,,,,"#STUNNA Lip Paint.... by @fentybeauty coming to @sephora and @harveynichols on Nov. 23. https://t.co/hxXrlf1t9Q"
,,,,,,"#STUNNA LIP PAINT. NOV 23 @fentybeauty https://t.co/lNXjBoRLNq"
,,,,,,"NOV. 23… get your lips ready 💋 #STUNNA LIP PAINT is coming!! @fentybeauty https://t.co/wKS8K7QVEF"
,,,,,,"thottie or nice? Tomorrow.. new #rihannaxstance for the holidays are out! (midnight PT tonight at @stance) https://t.co/IC7T2QeKd5"
,,,,,,"ayyyyye! when you get yo eyeshadow exactly like the other eye!! @duckie_thot ✨ #GALAXYCOLLECTION @fentybeauty https://t.co/nZnmkzULGB"
,,,,,,"Squad. Get the limited edition #GALAXYCOLLECTION before it’s gone!! @fentybeauty https://t.co/AoG0VhQ4OT"
,,,,,,"RT @AMAs: .@rihanna could win her seventh award for Favorite Female Artist Soul/R&amp;B at the #AMAs. 🙌  RT to VOTE! https://t.co/J44adHdTMQ"
,,,,,,"a true queen you are @Cher ...thank you! https://t.co/2nuLv5DjfB"
,,,,,,"The latest from the AW17 #FENTYxPUMA collection is out now at https://t.co/ptA1gkquJY !! @FENTYxPUMA @PUMA https://t.co/xaJkVgy5o6"
,,,,,,"tell da paparazzi get the lens right. @NERDarmy. LEMON is out now! Watch the tutorial https://t.co/2yJl2hs4iQ… https://t.co/lxXSvAZ59e"
,,,,,,"THURSDAY. More from the #FENTYxPUMA AW17 collection drops!!! Nov. 2nd! https://t.co/JYiE65ykjH"
,,,,,,"Cover of @VOGUEARABIA on stands Nov. 1st!! https://t.co/olYxk5Dv2E"
,,,,,,"👸🏾👑👸🏾 NOVEMBER 1st @VOGUEARABIA https://t.co/rIAjABcopA"
,,,,,,"😎🙏🏿 https://t.co/7pNfy8hupp"
,,,,,,"Cleated Creepers are available now in NEW COLORS!! get em out here: https://t.co/ptA1gkI68y #FENTYxPUMA https://t.co/lnPKT6v0OC"
,,,,,,"The #FENTYxPUMA Cleated Creeper is back in new colors TOMORROW Oct. 19th!! https://t.co/gr9JX6Ukcg"
,,,,,,"#GALAXYCOLLECTION. LIMITED EDITION. Get the intergalactic fam while you still can! @fentybeauty https://t.co/gt0VVkPH3m"
,,,,,,"Cosmic Gloss Lip Glitter. Kisses 👄 @fentybeauty https://t.co/uUjR1p8a7X"
,,,,,,"Starlit Hyper-Glitz Lipstick 💋❣️💋 @fentybeauty https://t.co/KNOpmQ66TA"
,,,,,,"Galaxy Eyeshadow Palette. 
Im dying to hear what your favorite colors are... @fentybeauty https://t.co/FmPtp2px38"
,,,,,,"The @fentybeauty #GalaxyCollection is OUT NOW at https://t.co/usXika7iOM @sephora @harveynichols... Hope you love i… https://t.co/2pvv1SXn5X"
,,,,,,"RT @FENTYXPUMA: Today’s the day! Rally with us &amp; special guest @Rihanna at FENTY UNIVERSITY (11am @Bloomingdales NYC). Time to get schooled…"
,,,,,,"RT @voguemagazine: The one and only @Rihanna opened up about @FentyBeauty, designing, and that iconic Met Gala dress. https://t.co/U3Xc514l…"
,,,,,,"Goes down TOMORROW… the #GALAXYCOLLECTION will be available at https://t.co/qw885kFEk2 @sephora and @harveynichols https://t.co/YNcygINpzl"
,,,,,,"2 more days!! I can’t wait to share this #GALAXYCOLLECTION with y'all man @fentybeauty https://t.co/AIOc9Rf2dD"
,,,,,,"Three more nights... #GALAXYCOLLECTION #Fridaythe13th @fentybeauty https://t.co/XK5QyiFN2q"
,,,,,,"Coming this Friday. #GALAXYCOLLECTION. You ready? @fentybeauty https://t.co/J9xFq52vON"
,,,,,,"Outta this world in 5 days!! #GALAXYCOLLECTION. @fentybeauty https://t.co/V8l6BD62zs"
,,,,,,"Yuuuummmmmm!!! These limited delicious Starlit Hyper-Glitz lips are almost yours!! Friday 13th 
@fentybeauty https://t.co/a8QmQ6xcLC"
,,,,,,"RT @PerfumesbyRiRi: #KissByRihanna has been nominated as @Ok_Magazine's 2017 Best New Female Fragrance! Cast your vote now: https://t.co/rC…"
,,,,,,"#GALAXYCOLLECTION in 6 days! OCT. 13 @fentybeauty https://t.co/Ng03xhlPW1"
,,,,,,"The #GALAXYCOLLECTION 
drops in ONE WEEK. 
Who’s here for #Fridaythe13th ?
@fentybeauty @sephora @harveynichols… https://t.co/3sA2plMs03"
,,,,,,"#FENTYxPUMA F.U. suede slides are out now! ... https://t.co/ptA1gkquJY https://t.co/HpGmbOR8Oy"
,,,,,,"when you extra AF. @fentybeauty #bloopers https://t.co/tXaSnuEq3A"
,,,,,,"Love you ! 😍💋❣️⚓️ https://t.co/QNrWNGp9qQ"
,,,,,,"F.U. SUEDE SLIDES. THURSDAY. OCT. 5. Fenty University. #FENTYxPUMA https://t.co/F7cGpd2aEo"
,,,,,,"Saying a prayer for all the victims &amp; their loved ones, also for the residents &amp; visitors of Las Vegas! This was a horrific act of terror!!"
,,,,,,"the grass is greener on the FENTY side. Shop the Fall @FENTYxPUMA Collection now! https://t.co/ptA1gkquJY https://t.co/fbvOTPR792"
,,,,,,"If you have even the smallest donation, you can help save lives! https://t.co/FasQxim6hN"
,,,,,,"FENTY @PUMA UNIVERSITY CLASS OF ‘17...the Fall collection is out now!! Shop at https://t.co/ptA1gkquJY #FENTYxPUMA https://t.co/hLC7uZGFM9"
,,,,,,"Round of APPLAUSE to these gentlemen for taking control of this devastating situation!!! #CaribbeanGirl #OneLove https://t.co/vTeuPwOvEV"
,,,,,,"Dear @realDonaldTrump I know you've probably already seen this, but I just wanted to make sure! 
Don't let your peo… https://t.co/lfez8RQ44n"
,,,,,,"--- @realDonaldTrump ----&gt; https://t.co/fE1Rd3bMDp"
,,,,,,"#PuertoRico 
https://t.co/tD6afk7PVM 
@realDonaldTrump ????????"
,,,,,,"The whole @fentybeauty collection. Shop it at https://t.co/qw885ko2Vs! https://t.co/2tnJkogTHo"
,,,,,,"The @FENTYxPUMA AW17 collection drops this Thursday. SEPT. 28. Get to class!! #FENTYxPUMA https://t.co/0o2uhUes62"
,,,,,,"440. @fentybeauty https://t.co/vhLavQWB9U"
,,,,,,"Holiday collection. You ready? Friday Oct 13th. @sephora @fentybeauty #sephoralovesfentybeauty https://t.co/8vO4IaLUxS"
,,,,,,"Sneak peek for the holidays. OCT. 13 @sephora @fentybeauty #sephoralovesfentybeauty https://t.co/OxoQpfbpW5"
,,,,,,"still not over it...😱
#FENTYxPUMA SS18. In case ya missed it... https://t.co/CGzE4Zmls7"
,,,,,,"Sending my love and prayers to everyone affected!!"
,,,,,,"There is much suffering yet to come-lost buildings, lost jobs, lost hope!!!"
,,,,,,"The Carribean, Mexico, Texas and Florida have taken some awful hits in the last few weeks! We must all do what we can to help!"
,,,,,,"Get ready for class... The #FENTYXPUMA AW17 collection drops SEPT. 28 💚💛🖤 https://t.co/b5TGhx5kL8"
,,,,,,"390. @fentybeauty https://t.co/N4NvhrYv1j"
,,,,,,"RT @RocNation: Congrats to @Rihanna and @KendrickLamar! #LOYALTY is now #1 at Rhythmic Radio. Thanks for listening! https://t.co/AgJIONWtfE"
,,,,,,"Killin' em with that #KILLAWATT @fentybeauty https://t.co/wxEcrBAFhK"
,,,,,,"Conceal, contour and highlight with the #MATCHSTIX gang. @fentybeauty https://t.co/zZyjDk87QP"
,,,,,,"300. @fentybeauty https://t.co/R6tKBCko8u"
,,,,,,"GLOSS BOMB in shade #FentyGlow . 
It's pretty much my addiction at this point. @fentybeauty https://t.co/EQ6j8YGdHb"
,,,,,,"360. @fentybeauty https://t.co/lbSEARvM0M"
,,,,,,"#KILLAWATT FREESTYLE HIGHLIGHTER in TROPHY WIFE. 
one of the favorites @fentybeauty https://t.co/CmWmoZikR5"
,,,,,,"The #CLF Creeper is out today! Help me and @PUMA support the @claralionelfdn ... Get it at https://t.co/ptA1gkI68y… https://t.co/lNILjeK23x"
,,,,,,"my go-to. 
#INVISIMATTE 
@fentybeauty https://t.co/uY3DCfYMVf"
,,,,,,"#PROFILTR 
no shade...40 shades! 
@fentybeauty https://t.co/UyzD6dMmPv"
,,,,,,"490. @fentybeauty https://t.co/OSEFDfHVS2"
,,,,,,"BLOTTING PAPER. One of my faves. @fentybeauty https://t.co/8i5kzpV0mt"
,,,,,,"check out the looKs from last night's #FENTYxPUMA SS18 show https://t.co/wf7e86CWDT"
,,,,,,"Tweet of the week 🤷🏽‍♀️ https://t.co/W22sTAvuPS"
