NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
royalsociety,167639,19332,"The Royal Society is a Fellowship of the world's most eminent scientists and is the oldest scientific academy in continuous existence. http://t.co/RVhEldfBvO",3564,3098,"Researchers say the elusive inhabitant of the Himalayas and Tibetan plateau has been unmasked @ubuffalo https://t.co/fbVNRO1a0h"
,,,,,,"Exploring the genius &amp; legacy of Michael Faraday. Join Sir John Meurig Thomas FRS for a #histsci evening tomorrow… https://t.co/xLHGhiU2Nx"
,,,,,,"Brexit must not mean an end to research collaboration with Europe, @wellcometrust 's @EdWhiting1 on our joint Futur… https://t.co/Ava48BwVMX"
,,,,,,"Join us tomorrow for a festive late night opening &amp; discover our hidden treasures in the collections &amp; more… https://t.co/JO9I9YDvE4"
,,,,,,"Want to help shape the future of UK-EU science? We've teamed up w/ @wellcometrust to launch the Future Partnership… https://t.co/Ue0YXlTUSY"
,,,,,,"Independent researcher looking for support with interdisciplinary research? Apply by 14 Dec #apexgrant… https://t.co/Kd4qpuGv1c"
,,,,,,"We've this week released a report on #climatechange understanding since the last @IPCC_CH AR5 report… https://t.co/XdYirThPiT"
,,,,,,"350 years of content, over 740,000 pages. From Franklin's electrical experiments to Newton's theory of light and co… https://t.co/iqvNnwbNvt"
,,,,,,"Zoological study of the Dodo, Raphus cucullatus, the extinct flightless bird from Mauritius (1835)… https://t.co/J8Luokvhp8"
,,,,,,"Computing remains a male-dominated subject - only 1 in 5 computer science GCSE pupils are female. Our #computinged… https://t.co/mf0nFOOX0y"
,,,,,,"350 years of content, over 740,000 pages. From Franklin's electrical experiments to Newton's theory of light and co… https://t.co/jzBABAtiVy"
,,,,,,"Congratulations to Dr Riko Muranaka @rikomrnk who was awarded the 2017 #MaddoxPrize for countering HPV vaccine misi… https://t.co/gTxema4PLI"
,,,,,,"Marine zoological study of the Red squirrelfish, a fish native to the Eastern Atlantic Ocean https://t.co/CtLcZt3GfO https://t.co/ilAgtsN1yc"
,,,,,,"UK scientist looking to do research in Brazil? The Newton Fund offers a host of opportunities… https://t.co/7Untml5IRT"
,,,,,,"Sharks evolved diverse physical attributes to thrive in different ecosystems https://t.co/gi39TO4iwn… https://t.co/MSD17C48AW"
,,,,,,"Join Professor Simon Myers for our 2017 Francis Crick Prize Lecture, 6 Dec https://t.co/VKJ8uuHsJK https://t.co/mxe7aSzjzv"
,,,,,,"Sad news for jellyfish. New research @CefasGovUK &amp; @uniofeastanglia reveals they are a veritable feast for a number… https://t.co/l6kxSy1G0i"
,,,,,,"England meets only 68% of its recruitment target for entries into teacher training courses https://t.co/KL9xCvihZg… https://t.co/ZJmU7qJGzv"
,,,,,,"Supporting UK judges with scientific primers. The first of a series of guides launched w/ @news_RSE https://t.co/R9w7EXQw96"
,,,,,,"Our oceans could provide new classes of resources. Our evidence pack on future ocean resources #RSoceans… https://t.co/gxUN5OmzLS"
,,,,,,"Gloomy read. How trophy hunting is removing 'good genes' &amp; raising extinction risk https://t.co/MlgvvV03SF"
,,,,,,"Congratulations to Dr Riko Muranaka @rikomrnk  who was awarded the 2017 #MaddoxPrize for countering HPV vaccine mis… https://t.co/bjIPznJMhi"
