NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
samgrobart,5414,2785,"The most naturally gifted athlete the world has ever seen. Also video monkey at the Cable News Network, an Atlanta-based 24-hour news channel.",789095,349,"@MrChuckD It's amazing. It's almost as good as Timebomb."
,,,,,,"I just found my new cologne. https://t.co/BZ68pbojn8"
,,,,,,"RT @MrChuckD: XMan took no sht https://t.co/BXeSBjLq5W"
,,,,,,"@morningmoneyben ""I'm sorry, son, but you must have me confused with someone else."""
,,,,,,"@anildash Is Van Jones involved?"
,,,,,,"RT @SteveSchmidtSES: Every single Gen X'er should be outraged as we watch a bunch of septuagenarian and octogenarians load another 1.5 tril…"
,,,,,,"@jimaley But not at Super Bowl pools."
,,,,,,"@anildash @yrechtman @rzgreenfield Can't spell something without spelling me!"
,,,,,,"@anildash @yrechtman @rzgreenfield ""Take the law into your own hands! Act on an ill-founded hunch! Be a HERO."""
,,,,,,"@rzgreenfield @yrechtman @anildash Only if you change your name to Beccca."
,,,,,,"@rzgreenfield ""My agent's already got calls from BART *and* SEPTA. Better move fast, MTA. This train's leaving the station."""
,,,,,,"@rzgreenfield Liebovitz or you walk."
,,,,,,"@rzgreenfield Just get better lighting than the people in those posters. They look like a ton of wreck."
,,,,,,"@rzgreenfield I hope they get you a better photographer."
,,,,,,"@rzgreenfield Thank you for keeping us safe."
,,,,,,"@dprzygoda You go ahead and take those bananas"
,,,,,,"@dprzygoda As far as his movies go, I actually really love the next one. It's insane, but worth it. Kristen Scott T… https://t.co/1Og6vLKahN"
,,,,,,"Brain cloud https://t.co/9xSbUEU1yl"
,,,,,,"Reporters at @washingtonpost @mccrummenWaPo and @bethreinhard (and their researchers) be like https://t.co/2uBEFwawqo"
,,,,,,"For my bar mitzvah, I got a ton of Tower Records gift certificates. I bought a lot of cassingles. https://t.co/UujV2AN8C8"
,,,,,,"I took a gypsy cab to the Pan Am Building. https://t.co/UujV2AN8C8"
,,,,,,"This is solid. https://t.co/ypEhhTslru"
,,,,,,"RT @anildash: Oh shit, the nuclear option. https://t.co/DYBnLvlQFA"
,,,,,,"I miss when Branford Marsalis was on every song."
,,,,,,"@BenedictEvans The Billy Ray Valentine school of investing. Well done."
,,,,,,"@Mr_Turley You lucky bastard. This is some incredible looking stuff. I can't wait to see it in the wild. Bravo!"
,,,,,,"@JoeSimpson79 Soderbergh's Out of Sight/The Limey/Erin Brockovich run is pretty sterling."
,,,,,,"@stephcd Gary Old Man is a raving anti-Semitic asshole. Dafoe seems chill."
,,,,,,"RT @dprzygoda: Very important thread, please read https://t.co/sRmU7y4rV6"
,,,,,,"@RikerGoogling Don't forget transparent aluminum."
,,,,,,"@bhgreeley Here’s your new jam.  https://t.co/1QEZCg3mBz"
,,,,,,"@Fahrenthold It's not a job, it's an adventure."
,,,,,,"@alanjeffries @brandonlisy @dprzygoda @grahamflanagan  https://t.co/esobDQfbIx"
,,,,,,"@dprzygoda @brandonlisy @bhgreeley @alanjeffries @grahamflanagan THEY FUCKING BETTER"
,,,,,,"@dprzygoda @brandonlisy @alanjeffries @grahamflanagan ""This guy tweets!"""
