NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
sarahchamma,31032,198,"23 • 🇵🇸 • Football⚽️Futsal • @LaTrobe SportMgt Grad • Nike • Followed by @Cristiano & by my favourite football player @Cesc4Official *Views are my own",2311297,257,"RT @rawanak3: last month of 2017.."
,,,,,,"Beautiful Queenstown, New Zealand 🇳🇿❤️ https://t.co/vX11MCNKdo"
,,,,,,"These days it’s patience, effort, hope... and connections."
,,,,,,"RT @HectorBellerin: Last minute winner? Some would say we have cojo***!!! #COYG https://t.co/oaOFtSwIII"
,,,,,,"RT @FCBarcelona: He made his debut 4,788 days ago.
He has played 602 games.
He has scored 523 goals.
He has won 30 trophies.
The story cont…"
,,,,,,"RT @xfarahalyx: Today, my country was bombed, a mosque, a place of worship to be specific. 

Over 250 deaths and not a word on social media…"
,,,,,,"RT @pakalupapito: it takes me like 3 days to wake up in the morning"
,,,,,,"RT @pakalupapito: r u a software update bc not now"
,,,,,,"RT @pakalupapito: pizza accepts you for who you are"
,,,,,,"RT @pakalupapito: me drinking green tea: this is going to fix everything"
,,,,,,"RT @pakalupapito: person: How are you? 

me: i literally have no idea"
,,,,,,"Havana ooh na na @Camila_Cabello"
,,,,,,"RT @HectorBellerin: Say no more. #COYG 🔴⚪️ https://t.co/D90yWpX6AP"
,,,,,,"RT @theowalcott: Who would of thought ✌🏽👌🏽 #AFCvsTHFC"
,,,,,,"RT @Arsenal: So... How's your Saturday? 😉

#AFCvTHFC https://t.co/HLhHSApM9E"
,,,,,,"❤️ @Alexis_Sanchez #AFCvTHFC"
,,,,,,"RT @Socceroos: We've done it. We're going to Russia.

#AUSvHON #GoSocceroos

Match centre: https://t.co/ISg3YfvlIz https://t.co/Yq947LLf6S"
,,,,,,"RT @milliebbrown: Bitchin https://t.co/9a3teejbCv"
,,,,,,"RT @Cristiano: Genes 👌👌👌 https://t.co/ctVAuXhuzu"
,,,,,,"#Truth 💯 https://t.co/rdCpW6iiDy"
,,,,,,"RT @realhartman: Forget who you WERE. It’s time to step into being who you ARE."
,,,,,,"RT @FactsGuide: Don’t trust too much, don’t love too much, don’t hope too much, because that “too much” can hurt you “so much”."
,,,,,,"RT @Stuart_PhotoAFC: Arsenal training session 14 years ago today. With @SolManOfficial #zinedinecygan @piresrobert7 Stathis Tavlaridis #DB1…"
,,,,,,"🙌🏼🙌🏼🙌🏼 https://t.co/d2WFF3AOMg"
,,,,,,"@jaysean Thank you for tonight! I wonder if you recognised me hahah https://t.co/NzdPIVIRSp"
,,,,,,"RT @WillSinge: Melbourne was a dream, I still remember it was only a couple years ago I was playing clubs that 10 people showed u… https://…"
,,,,,,"😂😂😂🕊 https://t.co/3tv0VHco0a"
,,,,,,"My mates for today @MelbourneCity https://t.co/kd760SMjp5"
,,,,,,"Frozen. #MelbWeather 💩"
,,,,,,"Dear Apple, your ios updates are meant to make our phones better and up-to-date, not the opposite!! 🙄"
,,,,,,"RT @SincerelyTumblr: No one is ""always busy"", it just depends on what number you are on their priority list"
,,,,,,"RT @WillSinge: just played one of the most amazing shows in Melbourne... I seriously got so much love for you guys. I can't even explain 💙😩"
,,,,,,"@jaysean can’t wait! :)"
,,,,,,"RT @jaysean: Absolutely. Expect a major turn up ! https://t.co/SAtpSWfc9r"
,,,,,,"@jaysean Coming to Melbourne next week i hear? :)"
