NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
selenalarson,22818,77486,"Tech news: Security, policy, other interesting things. @CNNTech. selena.larson@cnn.com. Open DMs. Signal/Jabber: Ask. 🥑",537787,2050,"RT @mattdpearce: “California, the place where anything was possible, has become the place where nothing is affordable.” To afford a middle-…"
,,,,,,"RT @SulomeAnderson: The gravity of an American president's favorite catch phrase being used to justify ethnic cleansing will probably be lo…"
,,,,,,"@HowellONeill “You mean three things.” - me"
,,,,,,"“I love two things in life, basketball and peanut butter and jelly sandwiches.” - @HowellONeill, my fiancé 🤔"
,,,,,,"@iamchrisscott 💕"
,,,,,,"RT @AvantGarcia: They say that one vote doesn't matter, but I literally wrote in my own name and won an election because I guess no-one els…"
,,,,,,"RT @juliakhorowitz: If you're flying American Airlines over the holidays, you can breathe a sigh of relief. AA says your plane will have a…"
,,,,,,"@leighmunsil omg"
,,,,,,"Former N.S.A. Employee Pleads Guilty to Taking Classified Information https://t.co/IXiQZWpEur"
,,,,,,"Three Uber security managers resign after CEO criticizes practices https://t.co/RaMu0FTvcd"
,,,,,,"@jack So Twitter is saying the tweets were not hateful conduct? https://t.co/voHJx4DFZQ"
,,,,,,"This statement is confusing and seems to conflict with what Twitter told @IvanaKottasova yesterday… https://t.co/MwOazORhx3"
,,,,,,"From Twitter's TOS ""You may not promote violence against, threaten, or harass other people on the basis of race, et… https://t.co/pC7lzhUqoo"
,,,,,,"RT @ellenhuet: so the pony is funny, but to highlight: the story also alleges Shervin
-- groped an entrepreneur in a business meeting
-- fo…"
,,,,,,"RT @jaketapper: ""I AM THE MELTED SKULL OF NAZI MAJOR ARNOLD TOHT, THE RUTHLESS GESTAPO AGENT WITH THE BURNED HAND IN RAIDERS OF THE LOST AR…"
,,,,,,"RT @Comey: “But justice roll down like waters and righteousness like an ever-flowing stream” Amos 5:24 https://t.co/o89PSY1YBd"
,,,,,,"Feds want to seize the Wu-Tang album https://t.co/NcOIJfyctJ"
,,,,,,"A helpful timeline https://t.co/zTYLSo5JPZ"
,,,,,,"Uber's use of encrypted messaging may set legal precedents https://t.co/LPMRGei1Xh"
,,,,,,"@frankpallotta @THR @starwars Omg"
