NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
stochastician,2809,496,"Hoping to ""look upon the snow with new eyes"". You're not full-stack unless you're worried about convergence and Johnson noise. Very happy postdoc.",3593,846,"@pfau Also IS EVERYONE EXCITED FOR SINGULARITY-CES, I mean NIPS?!?!?!?"
,,,,,,"@pfau It’s not a scoop if you can read it in a @JamesGleick book"
,,,,,,"@pfau Yes yes a million times yes! What bandwagon can we jump on next? I SEE FRACTALS AND CHAOS ON THE HORIZON"
,,,,,,"RT @pfau: I thought it was crazy enough that machine learning went headlong for deep neural networks, but now it's 2017 and it feels like a…"
,,,,,,"If (like me) you’ve been out of the thalamo-coritcal loop for a while, this is a great review https://t.co/ibTEwhxitg"
,,,,,,"RT @Neuro_Skeptic: We probably will have a useful brain-internet interface one day, but not soon. Will be decades before it's better than f…"
,,,,,,"I really love AWS, and it has changed the way I think about computation over the past decade of my career, and ReIn… https://t.co/v5wOHTvVy6"
,,,,,,"For Berkeley friends who haven’t seen it, today I will be giving my “Could a Neuroscientist Understand a Microproce… https://t.co/IlU1gN1MV2"
,,,,,,"Frankly the thing that most impresses me about your paper is you somehow got t-SNE to generate non-crap plots."
,,,,,,"RT @captainklein: Keen to hear about PyWren? Attend SRV424 for hands-on workshops working with AWS Public Datasets and using Pywren to mass…"
,,,,,,"You can measure how Bayesian you are by how much the phrase “…we don’t really have a prior” in a talk annoys you"
,,,,,,"@csdashm Yeah that’s my fear too. It’s such bullshit."
,,,,,,"Why would anyone publish in Scientific Reports instead of PLOS One?"
,,,,,,"@JohnDCook love your newsletter!"
,,,,,,"I feel like the first advice I would give any device physicist I knew making cool things is “don’t call it neuromor… https://t.co/fNK24ZwWR9"
,,,,,,"@LukePfister Yeah I hear you, I am trying to write up some results myself now :/"
,,,,,,"If you have to print your PSNR on top of your images to four sig figs, your method might not really be an improvement"
,,,,,,"I’m sitting in this talk by Kerem Camsari https://t.co/OwMu6OK1lj here at Berkeley and it’s the most amazing talk I’ve attending all term."
,,,,,,"@captainklein what day is your session? we wanted to watch the livestream!"
,,,,,,"RT @yardenkatz: Manufacturing an Artificial Intelligence Revolution - my paper on AI as the new behaviorist big data dream. https://t.co/2j…"
,,,,,,"@tdhopper I waited in line at midnight when I was 13 to get Windows’95 ! I dragged my poor dad along even though he… https://t.co/ynLu38firB"
,,,,,,"Man — everyone hates my em dashes in this proposal!"
,,,,,,"Grad student quote: “The idea that `pip install tensorflow` will break your numpy’s BLAS … seems almost appropriate”"
,,,,,,"@tristanls Exactly; the only winning move is not to play"
,,,,,,"“This is a hot area” feels like “this is an area where most problems will be solved if you wait a bit, so why work… https://t.co/iJoQ882amx"
,,,,,,"RT @AcademicsSay: 1. Think
2. Think about writing
3. Tweet about thinking about writing
4. Think tweet about writing is writing
5. Netflix"
,,,,,,"Obviously to get this bibtex into html I need ocaml. Thanks, brew!"
,,,,,,"It’s increasingly clear that no one in ML is reading the literature or bothering to put it into context. The number… https://t.co/cPKLvQFMOh"
,,,,,,"RT @roydanroy: Nature is launching Nature Machine Intelligence.  Like we need more help overhyping AI and contorting research! Just say no…"
,,,,,,"Just once I’d like to spell fluorophores correctly on the first try. Please, Santa?"
,,,,,,"Oh yay they redid Skype for Mac again. So excited to discover new bugs in the 37 seconds before this important call with @KordingLab"
,,,,,,"Rejection sampling is not a great way to write a proposal."
,,,,,,"RT @KordingLab: Personalized medicine can be very very wrong if you do not properly understand machine learning and evaluation: https://t.c…"
,,,,,,"@teoliphant @JohnDCook This is actually a good question — I am incredibly curious about places where people actuall… https://t.co/M1lwuYndfA"
,,,,,,"Amazing work from Orianna in our group on how personalized medicine can go awry if you don’t deeply consider the re… https://t.co/TARMZ4K0SK"
,,,,,,"Really need to figure out how to write a paper that uses Safety Dance."
,,,,,,"RT @beenwrekt: New York Times, how many articles are you going to write lionizing this charlatan? https://t.co/8cUfiPIoCk"
,,,,,,"@JohnDCook No real pushback, I just work with ardent non-bayesians these days, and everything now has to be “deep”"
,,,,,,"I wish Bayesian hadn’t somehow become a four-letter word."
,,,,,,"RT @esh: @AWSOpen I've seen a few impressive examples using PyWren. This AWS #reInvent workshop should be eye opening
https://t.co/uaPBPYZ2…"
,,,,,,"Where’s my “closeted Bayesian” shirt?"
,,,,,,"This is the scientific career version of “shut up and calculate!”"
,,,,,,"@roydanroy Just had this happen to one of our grad students. His nips workshop paper was turned into a arxiv prepri… https://t.co/0fr3aN8lCz"
,,,,,,"@jkuroda Just call them “ground drones” and talk about how each one can haul 4U"
,,,,,,"@beaucronin The worst."
,,,,,,"RT @senatorshoshana: Taylor Swift has been deafeningly silent on flood insurance reform"
,,,,,,"@jkuroda Sell it to darpa as a next-gen autonomous driving research platform"
,,,,,,"@JeffLinderoth @beenwrekt Around lab we would call this #fakenews"
,,,,,,"RT @JeffLinderoth: He's baaaaaaaack. @beenwrekt back at @UWMadEngr and stirring the pot. ML is the new alchemy!  ❤️❤️ https://t.co/umxg57Af…"
,,,,,,"Wife:”the names of the papers you read are more terrifying lately. They used to be just ‘MCMC I’m ballin’”"
,,,,,,"@mndoci Is it rude to make a joke about them taking cues from the AWS status board?"
,,,,,,"(Brainstorming research projects on honeymoon)
Wife: “so then that would be your... fifth postdoc?”"
,,,,,,"Is it ok to stop watching this show because they listed Musk alongside Cochrane?"
,,,,,,"Blues Traveler’s “Hook” is a lot more clever than I realized as a teenager, much like quaternions"
,,,,,,"Ugh and the other half of physics appears to be scattering theory — this is why I say I’m an EE"
,,,,,,"You can tell the academic tourists because when they spill their bag three different Mac display adaptors, a usb cl… https://t.co/yWgF5lj5bB"
,,,,,,"@roseboxcar GRE is for suckers"
,,,,,,"I swear to god it seems like 90% of physics is just about dealing with rotations"
,,,,,,"Wife: ""I wouldn't say you turned it into a debacle... I guess it was more of a funbacle?"""
,,,,,,"We met up with the wonderful elevator repair people at 11pm last night and they heroically retrieved the ring!"
,,,,,,"RT @ftzo: Uber AI Labs Open Sources Pyro, a Deep Probabilistic Programming Language https://t.co/GE9VwmZUaX"
,,,,,,"@mat_kelcey It fell and bounced and fell in the crack between floor and elevator car. 5mm gap for a 3mm ring. Fml"
,,,,,,"Day one of honeymoon: drop wedding ring down elevator shaft. This is why I never take ""vacation""."
,,,,,,"Man you know what I am not doing on this honeymoon? Ising models. Hell no I do not need that kind of frustration."
,,,,,,"@KordingLab Shhh Konrad I was trying to get the bidding going, do you want a coffee machine or not?!"
,,,,,,"@KordingLab Auction off “Dinners with Konrad” — I’d bid $20!"
,,,,,,"@deeplycloudy That’s awesome — I have been doing a lot of heliophhsics lately and the community there is also slowl… https://t.co/aL7LPjW51W"
,,,,,,"@deeplycloudy Oh my god you’re a python-loving weather scientist ? Can we be friends ?"
,,,,,,"@beaucronin @rhyolight @SubutaiAhmad Maybe not the neuroscientist they deserve, but the neuroscientist they need"
,,,,,,"This is a great, entertaining, and tragic read about superstorms, HPC, and decreasing your step size https://t.co/2lPLIXmN4m"
,,,,,,"@gasnerpants let the honeymoon begin ! https://t.co/3GmKrK9onX"
,,,,,,"@luxurykat YESSSSS"
,,,,,,"“Only UC Berkeley web sites can be printed on official cards” seems to reflect a fundamental misunderstanding of how the internet works."
,,,,,,"@roseboxcar Nope you need more equations in your beamer"
,,,,,,"The real problem with GANs is these damn 40MB PDFs of Ikea showrooms"
,,,,,,"@fnothaft Sorry the q is for quote — old zephyr habits die hard"
,,,,,,"Grad student q: ”i bet if a Fields medalist to did a Reddit AMA, someone would ask if they prefer pytorch or tensorflow”"
,,,,,,"RT @gasnerpants: what a day to be the salty infosec guy called into the sales pitch as a formality"
,,,,,,"@gasnerpants We will be buried under attempts to implement XMPP in reality"
,,,,,,"So is this like a channel split? Can I have ops now?"
,,,,,,"@gasnerpants Nah brah it’s blockchaIRC"
,,,,,,"@gasnerpants HN is down now too. BEHOLD THE END OF TIMES THIS IS THE SCARIEST HALLOWEEN EVER"
,,,,,,"I now have literally zero excuses to not do real work"
,,,,,,"SLACK IS DOWN! FREE AT LAST"
,,,,,,"@tdhopper I often end up with 20 or 50 notebooks in a project and I’m editing a lot of them simultaneously but then… https://t.co/zXQAiAI2fY"
,,,,,,"@tdhopper I really wish I could do a chronological query of all cells in the notebook directory. Like a gui grep"
,,,,,,"What if ADMM just sucks?"
,,,,,,"RT @johnplattml: Insightful paper (@beenwrekt et al): it's easy for non-CS people to write stateless Python functions, ignoring data locali…"
,,,,,,"In Stanley on UCB campus now — The “giant wet lab building with open central atrium” is hard to get right. BCS building 46 struggled too."
,,,,,,"@tdhopper @adriancolyer Oh wow, great find Tim!"
,,,,,,"RT @adriancolyer: ""Occupy the cloud: distributed computing for the 99%"" Jonas et al., SoCC'17 https://t.co/L4YRPNlKx1 #themorningpaper"
,,,,,,"RT @roseboxcar: Measure 0 times cut NaN times"
,,,,,,"RT @jacobandreas: Deep RL is popular because it's the only area in ML where it's socially acceptable to train on the test set."
