NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
teds_herebtchs,16,23,,53489,14,http://t.co/8ANqLlrvt4
,,,,,,"I got a new licence plate in #CSRRacing for Android #hotplate. Get it for FREE!
http://t.co/R5rnpsAfNv http://t.co/sAxZIk6l6s"
,,,,,,"I just moved up to level 11 in #CSRRacing for Android! You should check it out for FREE!
http://t.co/R5rnpsAfNv"
,,,,,,"I'm earning #mPOINTS Rewards in Prize Wheel Android. http://t.co/diaYdMCvJQ @GrandPrizeNet"
,,,,,,"Every day I'm levelling! And now I'm level 6 in #CSRClassics for Android! Get it for FREE! http://t.co/e5Y404NNZT"
,,,,,,"Check out my new decal #paintjob in #CSRClassics for Android. It's FREE! http://t.co/e5Y404NNZT http://t.co/qK9ErUdSug"
,,,,,,"Check out my classic car in #CSRClassics for Android! It's FREE! http://t.co/e5Y404NNZT http://t.co/bGCvLQzWOf"
,,,,,,"I just moved up to level 5 in #CSRRacing for Android! You should check it out for FREE!
http://t.co/R5rnpsAfNv"
,,,,,,"I just moved up to level 4 in #CSRRacing for Android! You should check it out for FREE!
http://t.co/R5rnpsAfNv"
,,,,,,"Having fun playing #CSRRacing for Android, why not join me for FREE?
http://t.co/R5rnpsAfNv"
,,,,,,"RT @DiceJohnGreen: ""No puedes elegir si van a hacerte daño en este mundo, pero si eliges quien te lo hace. Me gustan mis elecciones."" http:…"
,,,,,,"RT @DiceJohnGreen: ""Cuando alguien te hace una mejor persona, sabes que esa persona debe estar en tu vida"". http://t.co/W9ICeNtGNX"
,,,,,,"RT @Maxgschneider: Happy birthday @therealfrancia. Much love from me and @Laura_Quinn http://t.co/YMGJlb7bxT http://t.co/Vevaj1zut6"
,,,,,,"RT @HilariousSelfie: Selfie game strong while fighting cancer. #winner 🙏🏆 http://t.co/Vh8Tu5R96J"
,,,,,,"RT @HilariousSelfie: HER SELFIE GAME CRAZY http://t.co/iT1kqEGLqA"
,,,,,,"Rae Sremmurd - No Flex Zone (Viral Video): http://t.co/bUOjqROKT6 via @YouTube                 This Song Catchy..."
,,,,,,"Funniest BET Awards Photos 2014 [Gallery] | 101.1 The Wiz http://t.co/57v3UTLFo6"
,,,,,,"Lil Wayne Signs His Daughter To YMCMB [ Video ] | 101.1 The Wiz http://t.co/dyIdxHifQ8"
,,,,,,"I've just talked to Echo! Experience it for yourself. Earth to Echo, in theaters July 2nd. http://t.co/rsa890GBMZ"
,,,,,,"my old highschool teacher hitting the yeet 😂😭😩👏 https://t.co/oG8QCLYhzm via @vineapp"
,,,,,,"That moment your younger sibling wants to come and your parents make you take them 😂 https://t.co/O1hZkxIaZ4 via @vineapp"
,,,,,,"ENTER for a chance to win a signed @NicoandVinz poster &amp; an iPad mini: http://t.co/xm1iqrjd0A LISTEN to #AmIWrong: http://t.co/YjmOhlrUa6"
,,,,,,"#bbwla @ItsWesTho Dray a is beautiful"
,,,,,,"#BBWLA This season looks like its going to be off the fucking chain..."
,,,,,,"https://t.co/fK5XR3sizh

These Kids Got No Control..."
,,,,,,"This shit would give you nightmares...
#creppyassclowns
#Imgoingtokillyouinyodreams2nite http://t.co/CCI1UuIJ0V"
,,,,,,"This is a vine crazy but totes true... http://t.co/UGibxDHPtS"
,,,,,,"@dorothywang GoodNight D."
,,,,,,"#TeamCyn Cyn is the best that Erica could ever have... If only Erica could stop going back to Rich #miraclesareforareason"
,,,,,,"We barely got some snow over here... #IwantASnowStorm"
,,,,,,"Our Sherman got hurt but that's we won because of you... #ThanksSherman"
,,,,,,"@BET @106andpark @DangeRussWilson @Seahawks  wow crazy right they got blown out!!!"
,,,,,,"@ciara haha I know Peyton Did look a little mad... 
#SeattleSeahawks"
,,,,,,"@KendallJenner @officialjaden awesome pic...."
