NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
timnitGebru,402,102,,683,136,"@natwitte @junghoon_sonMD @EricTopol @PNASNews @drfeifei @erezaterez @StanfordCVGL Hope you feel better. In person… https://t.co/OYD2L9UsK3"
,,,,,,"@natwitte @junghoon_sonMD @EricTopol @PNASNews @drfeifei @erezaterez @StanfordCVGL One of the many things involved… https://t.co/AENdXinZx6"
,,,,,,"@jianmingzhou @drfeifei @PNASNews @erezaterez Yes. Stay tuned."
,,,,,,"@natwitte @EricTopol @PNASNews @drfeifei @erezaterez @StanfordCVGL I guess 4 years of many Stanford PhD students' a… https://t.co/fu76RZWYGS"
,,,,,,"@dboutayeb @drfeifei @PNASNews @erezaterez You can't. We bucket years (e.g. 2001-2005). You can find this informati… https://t.co/haP416H8YZ"
,,,,,,"@shakir_za @vukosi @nunuska @goodfellow_ian @jfgagne @sgouws @CwaMaina @DeepIndaba @MouradGridach is doing stuff in… https://t.co/nC5OHgt74P"
,,,,,,"@vukosi @nunuska @goodfellow_ian @jfgagne @sgouws @shakir_za Also @CwaMaina is someone who knows about this."
,,,,,,"@goodfellow_ian @jfgagne @sgouws @shakir_za @jfgagne I have a spreadsheet keeping track of AI related stuff that is… https://t.co/fzdzEv5env"
,,,,,,"Live stream of Michelle Alexander interviewing Angela Davis! https://t.co/bBMriWkCpi"
,,,,,,"RT @katecrawford: It's the LAST DAY to get applications in for a postdoc fellowship with us at the AI Now Institute at NYU! All disciplines…"
,,,,,,"RT @negar_rz: We are looking for more volunteers for the @WiMLworkshop! #nips2017 @WiCVworkshop @WomenTechmakers
Please apply here:
https:/…"
,,,,,,"RT @katecrawford: Today we officially launch the @AINowInstitute at NYU! Grateful to be part of an incredible community of scholars in mult…"
,,,,,,"""Last year, the FBI released surveillance footage they took to monitor Black Lives Matter protests in Baltimore—who… https://t.co/YZD9PP7maD"
,,,,,,"RT @DeepIndaba: Today we introduce the Deep Learning IndabaX. A Deep Learning IndabaX is a locally-organised, one-day Indaba that helps spr…"
,,,,,,"Today, I joined 50+ technical experts to call on DHS to drop its “Extreme Vetting Initiative” - a plan to automatic… https://t.co/SRGoF1VXZc"
,,,,,,"RT @element_ai: We're very proud to sponsor an initiative that promotes diversity and inclusion #BlackInAI we look forward to seeing you at…"
,,,,,,"RT @shakir_za: The .@googleresearch PhD fellowship awards have been extended to include Africa. Please encourage good applicants to apply!…"
,,,,,,"Dope. WEB Du Bois’s visualization of Black socioeconomic status in 1900 for World’s Fair in Paris: https://t.co/sqr0ehLG0P."
,,,,,,"@anildash Underrepresented folks: Joy Buolamwini of MIT, https://t.co/KIsuY99qGC, Prof. Ayanna Howard of Georgia Te… https://t.co/fNZOOk440V"
,,,,,,"AI Now report by @katecrawford and others https://t.co/zjChD7D6cY should be required reading for everyone in the community"
,,,,,,"@goodfellow_ian see you there. Also, do you know anything about poster printing around ICCV?"
,,,,,,"Well, since I'm co-organizing the event, I know exactly who is coming. And if you'd like to see for yourself, you c… https://t.co/ADcH0GM6yR"
,,,,,,"@davidvanvalen @goodfellow_ian @collawolley @typeload +1 Thanks for standing your ground and promoting our event + goals."
,,,,,,"@slacker3141 @goodfellow_ian There will be lots of students from even universities you haven't heard of and countri… https://t.co/gd03JkUvt6"
,,,,,,"@KavehHassani @fgolemo @negar_rz @goodfellow_ian Thanks. I hope you attend if you're at NIPS. And we can discuss this in person."
,,,,,,"@KavehHassani @fgolemo @negar_rz @goodfellow_ian 2. It helps them stay in the field, and it helps change the percep… https://t.co/tfH0oN3naT"
,,,,,,"@KavehHassani @fgolemo @negar_rz @goodfellow_ian 1. You should read a little literature and also talk to people fro… https://t.co/n51WvPcEvJ"
,,,,,,"@KavehHassani @fgolemo @negar_rz @goodfellow_ian And one day, we want to get to the point where we don't need to do… https://t.co/uaa2DI2tCZ"
,,,,,,"@KavehHassani @fgolemo @negar_rz @goodfellow_ian Which is why we're encouraging all races to come to black in AI :)… https://t.co/EqQzwmBBsq"
,,,,,,"@KavehHassani @fgolemo @negar_rz @goodfellow_ian 3. If there were no need for such a group, I would have rather spe… https://t.co/3EW86G1Brm"
,,,,,,"@KavehHassani @fgolemo @negar_rz @goodfellow_ian 3. If there were no need for such a group, I would have saved a lo… https://t.co/rdAHf9sTVL"
