NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
tony_prophet,5179,9748,"🌍Equality Ally 4 All 🌎 Husband - Father - Salesforce Chief Equality Officer - Gannett Board Member - College Track Board Member - Tweets My Own ❣️ He/Him/His",23563,3884,"RT @UN: Let us remove physical &amp; cultural barriers, build resilient societies &amp; create opportunities that truly leave no one behind.
— @Ant…"
,,,,,,"🙏🏽 Honored and inspired spending time with personal Hero @VanJones68 . . . and of course @ahebigprophet too 🙏🏽 https://t.co/vP4KnhFtmZ"
,,,,,,"@ZacharyJeans @CloudPerks @itequality @SalesforceEQ @appexchange @trailhead @salesforce I'll be there 😎"
,,,,,,"Band Together 2 tix now on sale! See @ChiliPeppers and @lukasnelson on Dec 14 at @BillGrahamCivic to support… https://t.co/g83MTk3jX5"
,,,,,,"#WorldAIDSDay https://t.co/s29TNCETAY"
,,,,,,"@ericdresh @JamesLoduca @domlet @lepitts -- this looks very exciting - @domlet reach out and let us know more -… https://t.co/FfV4Az3dOI"
,,,,,,"@CloudPerks @itequality @SalesforceEQ @appexchange @trailhead @salesforce Well done - Congrats - Hi Zachary, Mirand… https://t.co/xLH3LdKcAm"
,,,,,,"RT @SalesforceEQ: ""Equal Opportunity — We want to have a workplace where the folks inside of our 4 walls look like the people outside, whet…"
,,,,,,"Thanks to @emachti and all the leaders discussing these incredibly important issues 🙏🏽🙏🏽🙏🏽🙏🏽 https://t.co/9JZ4RNvvwl"
,,,,,,"@monika_sfdc 🇮🇳 Love Delhi, Mumbai, Hyderabad, Bangalore too❣️ Will visit all + Chandigarh on my next trip to India 🇮🇳"
,,,,,,"RT @vipulgoel19: Glad to know our @Salesforce #Chandigarh Diversity is growing and even #@Salesforce Chief Equality Officer : @tony_prophet…"
,,,,,,"@monika_sfdc Thanks so much for your passion for #EqualityForAll  -  believe it or not I've actually been to Chandi… https://t.co/gzvAXuKwn5"
,,,,,,"RT @HRC: Ending violence and discrimination against #transgender people requires immediate action. Now is the time. https://t.co/HGI64oxCW5"
,,,,,,"RT @danieljpeter: Reminiscing about #DF17—the best @Dreamforce ever! https://t.co/ZciADtA91F"
,,,,,,"RT @salesforce: What does @MichelleObama think about diversity, inclusion, and equal pay? The former FLOTUS visited Dreamforce this week fo…"
,,,,,,"RT @SurvivorModa: As a #breastcancersurvivor, I was #thankful to just BE at #DF17 after 1+ yrs of #cancer treatment! 💕 By far, this @WiT_Di…"
,,,,,,"Grieving for each life lost in the horrible mosque attack in Egypt - an evil senseless act. https://t.co/GZ8oLJMTo5"
,,,,,,"@steph_herrera_ @steph_herrera_  means so much coming from you - a role model and Hero 2 so many - wishing you a wo… https://t.co/55lkMZvdCu"
,,,,,,"Thanks again to all who joined the WIT Webinar on Monday - We're super grateful for the engagement - as promised he… https://t.co/kNhkqm3PZK"
,,,,,,"RT @danieljpeter: The 4th industrial revolution may create more equality, or if we aren't careful less equality.

—@tony_prophet https://t.…"
,,,,,,"RT @GuiseppeHammer: It's a great thing when your company pays its team to go give their time &amp; #volunteer. I'm fortunate to work for @Magne…"
,,,,,,"RT @danieljpeter: “An education is that one equalizer that levels the playing field.”

—@tony_prophet https://t.co/xQ15i8nO5E"
,,,,,,"@JasonWomack Thank you Jason for your encouragement #EqualityForAll 🌎"
,,,,,,"RT @danieljpeter: be positive
be the captain of your soul
do the right thing
help other people
make a success of your life

Words to live b…"
,,,,,,"RT @HRC: Today is Transgender Day of Remembrance, a time to reflect on those we have lost &amp; recommit to ending the epidemic of anti-trans v…"
,,,,,,"@ZacharyJeans @SalesforceWIT It was an honor and a real treat for me - surprised and grateful for the awesome turnout  🙏🏽🙏🏽🙏🏽"
,,,,,,"Congratulations @ClairJoyFarley  - looking forward to your Leadership - well done @mayoredlee 👏🏾👏🏾👏🏾 https://t.co/RNs1coV22i"
