NAME,FOLLOWER,LIKE,DESCRIPTION,"TOTAL RETWEET",TOTAL_LIKE,TWEET
useph_baady,26404,788,"Social Media Expert  ,https://t.co/D1MQdlSXls  █║▌│█ 10:06 AM 30/11/12 #MUFC  #Followed by Don @Cristiano 🇵🇹 &  @SoultanAhmed 🇲🇦",2542721,161,"RT @FIFAWorldCup: QUALIFIED!👏
Congratulations, 🇲🇦Morocco! They're heading back to the #WorldCup for the first time since 1998! #WCQ https:/…"
,,,,,,"RT @Marokinoo_: ecoutez ce que dit Mendyl wAllah je l’aime trop ecoutez bien 😭😭 https://t.co/fydPN3JKkr"
,,,,,,"RT @dmsportofficiel: 🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦
🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
LES CHAMPS ELYSÉES SONT MAROCAINS CE SOIR 
🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦…"
,,,,,,"RT @YesWeCrann: 2016 - Marco van Basten to Hakim Ziyech: ""How stupid can you be to choose Morocco if you are in contention for the Dutch na…"
,,,,,,"Go #Morocco 🇲🇦! Russia 2018 🇷🇺 here we come! ! #worldcup #football  Mabrouk 3lina"
,,,,,,"RT @RedOne_Official: What a blessing to have worked with these amazing people. @dinahjane97 @daddy_yankee @FrencHMonTanA 
#boomboom #spread…"
,,,,,,"RT @ChampionsLeague: The complete 2017/18 UEFA Champions League Group Stage draw!

Most exciting group?

#UCLdraw https://t.co/Jf9ebJrJ9t"
,,,,,,"RT @usainbolt: My Saturday @ManUtd https://t.co/p993qVf8Vv"
,,,,,,"RT @JadeStamate: Who did this 😂😂😂 https://t.co/7PXxFsqeWT"
,,,,,,"RT @Ibra_official: I UNITED it @ManUtd https://t.co/2rgvuvoT0m"
,,,,,,"RT @Cristiano: champions Super Cup 👌👌🏆 https://t.co/T9iW6JyTlJ"
,,,,,,"RT @e7_sani: Chefchaouen village in Morocco. https://t.co/aJHhqC8k4T"
,,,,,,"RT @Squawka: Cristiano Ronaldo has now scored or assisted in each of his last seven games for Portugal.

12 goals ⚽️
2 assists 🅰️

What a p…"
,,,,,,"RT @anu_akinola: This is how calmly I want to deal with any situation life has to throw at me this year https://t.co/jGZcWCkEoK"
,,,,,,"RT @vlindelof: Been great learning about my new club at https://t.co/Ffg1atS5Gg! @ManUtd https://t.co/KHtEKLAVBm"
,,,,,,"RT @Cristiano: Proud to represent the National Team
🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹😘 https://t.co/G0x0y4UZP7"
,,,,,,"RT @Cristiano: Excited with my second reveal with #Egyptian_Steel in partnership with @AhmedAbuHashima. State of the art steel plants build…"
,,,,,,"RT @Cristiano: 🇵🇹 https://t.co/Q5QpUSoiaH"
,,,,,,"RT @rioferdy5: Viva Ronaldo...... 👀 @Cristiano"
,,,,,,"RT @ManUtd: Join us in saying #HejVictor.

Welcome to #MUFC, @VLindelof! https://t.co/AWlyoc59QB 🇸🇪 https://t.co/AsrvIIGzS3"
,,,,,,"RT @realmadrid: FP: @juventusfc 1-4 #RealMadrid (Mandzukic 27'; @Cristiano 20', 64', @Casemiro 61', @marcoasensio10 90').

¡CAMPEONES DE EU…"
,,,,,,"RT @realmadrid: 🏆 #CHAMP12NS
1-4: ¡El #RealMadrid hace historia y gana la Duodécima!

👉 https://t.co/0LRzZx4pm7

#HalaMadrid https://t.co/A…"
,,,,,,"RT @realmadrid: 🔝⭐️🏆 #CHAMP12NS
¡@Cristiano fue nombrado MVP de la Final gracias a sus 2️⃣ tantos! ¡CRACK! 

👉 https://t.co/xbEgOZZAt5

#Ha…"
,,,,,,"RT @realmadrid: ✌️🏆🏆 #CHAMP12NS
¡Hemos conseguido nuestro tercer doblete de Copa de Europa y Liga!

#HalaMadrid 👇

👉 https://t.co/uOk3l6RXM8"
,,,,,,"RT @realmadrid: 👊🏆 #CHAMP12NS
El mejor jugador del mundo, @Cristiano.

#HalaMadrid https://t.co/iNGSadPTDm"
,,,,,,"RT @realmadrid: 🏆 UEFA Champions League 2017
#CHAMP12NS https://t.co/xDA5RXoIUO"
,,,,,,"RT @Cristiano: Champions. ⚽️⚽️⚽️⚽️😘❤️️ https://t.co/Ppmt7QdEFM"
,,,,,,"RT @RvN1776: Well done @ManUtd for winning the @EuropaLeague! #gloryglorymanutd!
Enhorabuena @realmadrid por ganar la @ChampionsLeague! #ha…"
,,,,,,"RT @BigSte36: That's RONALDO! He's won back to back Champions League, Euros, Ballon d'Or , and La Liga in the last 12 months and paid his t…"
,,,,,,"RT @ManUtd: .@realmadrid See you in the UEFA Super Cup!"
,,,,,,"RT @iivv_7: حٌب النبي محمد صلى الله عليه وسلم : https://t.co/WhWpnEHqhi"
,,,,,,"RT @Wicknes007: Congrats to all the winners! https://t.co/5uwBGTISwt"
,,,,,,"RT @ASRomaEN: We'll leave you with this.

Thank you for everything. 

#ForzaRoma #GrazieTotti https://t.co/FsqRPyeJrG"
,,,,,,"RT @andrinhopereira: Nice to meet one of the best DJ in the world 🎧🎼🎸 https://t.co/RKq8mvb3ry"
,,,,,,"RT @ManUtd: Good morning, #MUFC fans! https://t.co/mOs5jMcH2B"
,,,,,,"RT @Cristiano: https://t.co/DIfZJJb5Jf"
,,,,,,"RT @ManCity: https://t.co/Kz89wXt8It"
,,,,,,"RT @ManUtd: Champions. #UELfinal https://t.co/Q2ZgNj86SQ"
,,,,,,"RT @ManUtd: For Manchester. https://t.co/UgWP5eLQyi"
,,,,,,"RT @paulpogba: UNITED we did it!!!!! @ManUtd #MUFC #UELFinal https://t.co/TzL2apPWJe"
,,,,,,"RT @paulpogba: God is great 🙏🏾🙏🏾🙏🏾
Dieu est grand 🏆🏆🏆
@ManUtd #MUFC #UELFinal https://t.co/HOo7hixmUg"
,,,,,,"RT @MarcusRashford: For you Manchester ❤️ https://t.co/5vfzzp1cBM"
,,,,,,"RT @AnderHerrera: C H A M P I O N S 🏆 What a season, three titles! Thanks to our fans for being behind us every single game 🔴 https://t.co/…"
,,,,,,"RT @BlindDaley: WINNERS!! 🏆 MUFC https://t.co/VKuJZHa0ap"
,,,,,,"RT @AnthonyMartial: 🏆🏆🏆🔴🔴🔴 https://t.co/rzeqfOgqop"
,,,,,,"RT @adnanjanuzaj: Congratulation to the boys 💪🙌🏻❤️ @ManUtd"
,,,,,,"RT @andrinhopereira: Well done boys!!! Well deserved!! @ManUtd 🔴🔴🔴 @EuropaLeague https://t.co/aBaL9VUYNd"
,,,,,,"RT @HenrikhMkh: Cmon United! So so so happy with our win tonight! I dedicate this trophy to my family, Manchester &amp; all Armenians! 🇦🇲 @ManU…"
,,,,,,"RT @anto_v25: https://t.co/D5YRjm6AmC"
,,,,,,"RT @anto_v25: Thanks to God for this trophy. It is dedicated to the city of Manchester, my family and the people of Ecuador. @ManUtd_Es htt…"
